time,open,high,low,close,volume
2021-02-05 19:56:00,231.8,231.8,231.8,231.8,111
2021-02-05 19:53:00,231.6,231.6,231.6,231.6,709
2021-02-05 19:44:00,231.8,231.8,231.8,231.8,220
2021-02-05 19:41:00,231.75,231.75,231.75,231.75,200
2021-02-05 19:14:00,231.01,231.01,231.01,231.01,350
2021-02-05 17:59:00,231.4,231.4,231.4,231.4,328
2021-02-05 17:06:00,231.24,231.24,231.24,231.24,201
2021-02-05 17:05:00,231.24,231.24,231.24,231.24,202
2021-02-05 16:43:00,230.8,230.8,230.8,230.8,416
2021-02-05 16:42:00,230.81,230.81,230.8,230.8,1820
2021-02-05 16:25:00,230.16,230.16,230.16,230.16,2003
2021-02-05 16:24:00,231.12,231.12,231.12,231.12,14737
2021-02-05 16:17:00,231.25,231.25,231.25,231.25,5808
2021-02-05 16:12:00,231.7653,231.7653,231.7653,231.7653,200
2021-02-05 16:07:00,230.4,231.12,230.4,230.4,662
2021-02-05 16:05:00,231.12,231.12,231.12,231.12,99513
2021-02-05 16:04:00,231.12,231.12,231.12,231.12,1972
2021-02-05 16:03:00,231.12,231.12,231.12,231.12,1214
2021-02-05 16:01:00,231.12,231.12,231.12,231.12,6614
2021-02-05 16:00:00,231.03,231.15,230.81,231.0,19895
2021-02-05 15:59:00,230.87,231.15,230.8,231.1,18022
2021-02-05 15:58:00,231.13,231.22,230.8,230.83,25799
2021-02-05 15:57:00,231.67,231.7,231.08,231.2199,18424
2021-02-05 15:56:00,231.96,232.02,231.59,231.69,21823
2021-02-05 15:55:00,232.25,232.3699,231.87,231.94,13376
2021-02-05 15:54:00,232.08,232.5,232.07,232.335,9354
2021-02-05 15:53:00,232.17,232.91,231.87,232.07,27792
2021-02-05 15:52:00,232.0,232.23,231.855,232.23,14906
2021-02-05 15:51:00,231.65,232.11,231.635,232.1,14991
2021-02-05 15:50:00,231.5358,231.55,231.32,231.55,9966
2021-02-05 15:49:00,231.37,231.55,231.23,231.52,18457
2021-02-05 15:48:00,231.45,231.45,231.25,231.4,11393
2021-02-05 15:47:00,231.38,231.5799,231.24,231.54,9410
2021-02-05 15:46:00,231.38,231.465,231.34,231.44,8532
2021-02-05 15:45:00,231.41,231.6,231.35,231.43,11632
2021-02-05 15:44:00,231.15,231.3928,231.11,231.32,3914
2021-02-05 15:43:00,231.375,231.45,231.105,231.105,10575
2021-02-05 15:42:00,231.6,231.93,231.41,231.49,8499
2021-02-05 15:41:00,231.26,231.6,231.1451,231.52,6131
2021-02-05 15:40:00,231.13,231.3,231.06,231.12,4128
2021-02-05 15:39:00,231.0,231.255,231.0,231.0,6454
2021-02-05 15:38:00,231.34,231.3618,231.05,231.05,4238
2021-02-05 15:37:00,231.42,231.54,231.3503,231.4099,4742
2021-02-05 15:36:00,230.95,231.42,230.91,231.42,14020
2021-02-05 15:35:00,230.55,230.93,230.53,230.92,7304
2021-02-05 15:34:00,230.4206,230.61,230.4206,230.515,5453
2021-02-05 15:33:00,230.55,230.6599,230.52,230.54,4128
2021-02-05 15:32:00,230.38,230.52,230.3,230.475,4785
2021-02-05 15:31:00,230.18,230.51,230.18,230.45,11064
2021-02-05 15:30:00,230.11,230.185,230.05,230.05,4781
2021-02-05 15:29:00,230.325,230.325,229.95,230.1497,7277
2021-02-05 15:28:00,230.41,230.41,230.31,230.31,1398
2021-02-05 15:27:00,230.12,230.35,230.12,230.25,3330
2021-02-05 15:26:00,230.26,230.4,230.06,230.0618,4734
2021-02-05 15:25:00,230.34,230.48,230.2023,230.255,4288
2021-02-05 15:24:00,230.255,230.365,230.232,230.365,3562
2021-02-05 15:23:00,230.27,230.4272,230.24,230.255,1219
2021-02-05 15:22:00,230.29,230.5099,229.9177,230.155,10286
2021-02-05 15:21:00,230.295,230.4977,230.22,230.25,6990
2021-02-05 15:20:00,230.5,230.5,230.295,230.295,6004
2021-02-05 15:19:00,230.25,230.53,230.23,230.3314,6207
2021-02-05 15:18:00,230.12,230.26,230.1159,230.15,2493
2021-02-05 15:17:00,229.87,230.25,229.87,230.25,5523
2021-02-05 15:16:00,229.64,229.89,229.64,229.88,4911
2021-02-05 15:15:00,229.31,229.706,229.31,229.706,1888
2021-02-05 15:14:00,229.31,229.31,229.07,229.31,2736
2021-02-05 15:13:00,229.26,229.3362,229.15,229.15,4187
2021-02-05 15:12:00,229.4301,229.512,229.21,229.38,7037
2021-02-05 15:11:00,229.55,229.59,229.4487,229.5,3045
2021-02-05 15:10:00,229.44,229.54,229.33,229.41,3256
2021-02-05 15:09:00,229.56,229.65,229.54,229.56,1901
2021-02-05 15:08:00,229.63,229.63,229.4,229.55,3864
2021-02-05 15:07:00,229.56,230.0,229.56,229.86,4567
2021-02-05 15:06:00,229.88,229.885,229.57,229.57,1636
2021-02-05 15:05:00,229.82,229.97,229.6901,229.6901,2921
2021-02-05 15:04:00,229.99,229.99,229.8119,229.9816,1828
2021-02-05 15:03:00,229.845,230.02,229.845,230.02,1392
2021-02-05 15:02:00,229.995,230.14,229.78,229.82,3573
2021-02-05 15:01:00,230.21,230.35,229.99,230.01,2080
2021-02-05 15:00:00,230.0601,230.2248,230.0069,230.18,6755
2021-02-05 14:59:00,230.1,230.24,229.97,230.24,1771
2021-02-05 14:58:00,229.84,230.09,229.81,229.89,2585
2021-02-05 14:57:00,229.58,229.96,229.58,229.885,1873
2021-02-05 14:56:00,229.65,229.805,229.65,229.77,1812
2021-02-05 14:55:00,229.63,229.65,229.54,229.54,1560
2021-02-05 14:54:00,229.43,229.6,229.43,229.44,876
2021-02-05 14:53:00,229.5705,229.62,229.43,229.62,780
2021-02-05 14:52:00,229.4225,229.5,229.2,229.5,3275
2021-02-05 14:51:00,229.49,229.49,229.4132,229.465,1217
2021-02-05 14:50:00,230.06,230.06,229.69,229.69,3945
2021-02-05 14:49:00,230.33,230.33,230.14,230.14,1874
2021-02-05 14:48:00,230.25,230.36,230.1002,230.1002,2806
2021-02-05 14:47:00,230.265,230.36,230.22,230.22,858
2021-02-05 14:46:00,230.2,230.28,230.114,230.114,2849
2021-02-05 14:45:00,230.2,230.5299,230.2,230.2695,10205
2021-02-05 14:44:00,229.985,230.15,229.9,230.1,4620
2021-02-05 14:43:00,229.88,230.04,229.83,229.93,3287
2021-02-05 14:42:00,229.6402,229.92,229.6402,229.8,2842
2021-02-05 14:41:00,230.06,230.1,229.7,229.7,1579
2021-02-05 14:40:00,229.92,230.0,229.6748,229.95,6731
2021-02-05 14:39:00,229.98,230.095,229.95,230.01,3936
2021-02-05 14:38:00,229.72,229.89,229.6,229.88,4507
2021-02-05 14:37:00,229.68,229.74,229.57,229.74,1780
2021-02-05 14:36:00,229.84,229.84,229.64,229.7406,4545
2021-02-05 14:35:00,229.45,229.96,229.44,229.915,9060
2021-02-05 14:34:00,229.4056,229.4765,229.0292,229.47,3569
2021-02-05 14:33:00,229.6,229.6,229.39,229.47,2340
2021-02-05 14:32:00,229.55,229.64,229.405,229.41,3014
2021-02-05 14:31:00,229.5487,229.72,229.2807,229.2807,2959
2021-02-05 14:30:00,229.4226,229.81,229.4226,229.625,1815
2021-02-05 14:29:00,229.855,229.855,229.5,229.615,2693
2021-02-05 14:28:00,229.178,229.61,229.178,229.61,2184
2021-02-05 14:27:00,228.89,229.337,228.87,229.28,3015
2021-02-05 14:26:00,228.87,228.87,228.72,228.745,1178
2021-02-05 14:25:00,228.705,228.885,228.69,228.7324,2387
2021-02-05 14:24:00,228.625,228.75,228.625,228.705,2020
2021-02-05 14:23:00,228.91,228.95,228.33,228.7,18618
2021-02-05 14:22:00,229.02,229.19,228.87,228.9101,16544
2021-02-05 14:21:00,228.99,229.08,228.9,228.9,1510
2021-02-05 14:20:00,228.68,228.88,228.66,228.88,2033
2021-02-05 14:19:00,229.06,229.06,228.61,228.61,3518
2021-02-05 14:18:00,229.24,229.24,228.85,228.99,1864
2021-02-05 14:17:00,228.8023,229.28,228.8023,229.14,3045
2021-02-05 14:16:00,229.1,229.33,229.02,229.2,4581
2021-02-05 14:15:00,229.97,229.97,228.83,228.9363,4294
2021-02-05 14:14:00,229.89,229.9528,229.81,229.8534,1936
2021-02-05 14:13:00,229.9115,230.0,229.78,229.86,3164
2021-02-05 14:12:00,229.66,229.92,229.66,229.92,3603
2021-02-05 14:11:00,229.75,229.9075,229.75,229.78,994
2021-02-05 14:10:00,229.55,229.71,229.29,229.66,4673
2021-02-05 14:09:00,229.53,229.8,229.52,229.63,2422
2021-02-05 14:08:00,229.6776,229.82,229.55,229.61,4718
2021-02-05 14:07:00,229.67,229.93,229.67,229.76,4176
2021-02-05 14:06:00,229.69,229.75,229.52,229.64,3225
2021-02-05 14:05:00,229.856,229.856,229.01,229.7,13682
2021-02-05 14:04:00,229.78,229.845,229.76,229.845,1524
2021-02-05 14:03:00,229.055,229.68,229.055,229.68,5652
2021-02-05 14:02:00,230.02,230.03,228.92,228.92,18958
2021-02-05 14:01:00,230.28,230.28,230.114,230.125,1514
2021-02-05 14:00:00,230.175,230.3599,230.05,230.05,4424
2021-02-05 13:59:00,230.15,230.17,230.08,230.17,1862
2021-02-05 13:58:00,229.98,230.235,229.85,230.235,2013
2021-02-05 13:57:00,229.72,229.88,229.5501,229.7905,5157
2021-02-05 13:56:00,230.1933,230.1933,229.71,229.71,6622
2021-02-05 13:55:00,230.4101,230.6,230.13,230.13,6073
2021-02-05 13:54:00,230.5,230.55,230.5,230.525,1348
2021-02-05 13:53:00,230.58,230.58,230.39,230.5,2061
2021-02-05 13:52:00,230.37,230.56,230.29,230.5,3287
2021-02-05 13:51:00,231.05,231.05,230.54,230.54,4024
2021-02-05 13:50:00,231.05,231.05,230.81,230.81,2463
2021-02-05 13:49:00,231.13,231.36,231.061,231.15,4041
2021-02-05 13:48:00,231.06,231.15,230.9678,230.9678,2102
2021-02-05 13:47:00,231.36,231.425,231.22,231.22,1627
2021-02-05 13:46:00,231.33,231.49,231.33,231.49,1825
2021-02-05 13:45:00,231.0663,231.0663,231.0663,231.0663,1247
2021-02-05 13:44:00,231.44,231.44,231.15,231.15,1515
2021-02-05 13:43:00,231.65,231.65,231.45,231.45,928
2021-02-05 13:42:00,231.66,231.66,231.51,231.51,883
2021-02-05 13:41:00,231.3301,231.49,231.33,231.49,1036
2021-02-05 13:40:00,231.26,231.43,231.26,231.36,2137
2021-02-05 13:39:00,231.22,231.32,231.2117,231.235,1563
2021-02-05 13:38:00,231.26,231.26,231.05,231.05,1849
2021-02-05 13:37:00,231.0653,231.0653,231.0653,231.0653,407
2021-02-05 13:36:00,231.12,231.31,231.04,231.04,3042
2021-02-05 13:35:00,231.17,231.2821,230.94,230.94,1690
2021-02-05 13:34:00,231.0,231.3849,230.97,231.3849,3425
2021-02-05 13:33:00,230.9313,230.9313,230.7188,230.77,1555
2021-02-05 13:32:00,230.91,231.02,230.86,230.86,1932
2021-02-05 13:31:00,230.855,230.906,230.77,230.906,1844
2021-02-05 13:30:00,231.2973,231.2973,231.13,231.18,6011
2021-02-05 13:29:00,231.53,231.7183,231.38,231.41,7820
2021-02-05 13:28:00,231.36,231.6673,231.35,231.45,2524
2021-02-05 13:27:00,231.3,231.33,231.1,231.33,1636
2021-02-05 13:26:00,231.25,231.3784,230.92,231.04,8243
2021-02-05 13:25:00,231.4,231.4,231.1935,231.245,6440
2021-02-05 13:24:00,231.52,231.7,231.41,231.41,1503
2021-02-05 13:23:00,231.47,231.521,231.47,231.52,2923
2021-02-05 13:22:00,231.3,231.4934,231.3,231.3,2233
2021-02-05 13:21:00,231.08,231.45,231.07,231.44,38979
2021-02-05 13:20:00,231.155,231.25,230.9309,231.15,5256
2021-02-05 13:19:00,231.13,231.24,231.0301,231.2399,2814
2021-02-05 13:18:00,231.04,231.05,230.91,230.91,1273
2021-02-05 13:17:00,230.884,231.07,230.835,231.01,5845
2021-02-05 13:16:00,230.665,230.92,230.665,230.92,2288
2021-02-05 13:15:00,230.65,230.6573,230.55,230.6573,918
2021-02-05 13:14:00,230.87,230.96,230.66,230.7568,5508
2021-02-05 13:13:00,230.5473,230.82,230.5473,230.76,2262
2021-02-05 13:12:00,230.76,230.875,230.53,230.6,2962
2021-02-05 13:11:00,231.02,231.03,230.52,230.925,3887
2021-02-05 13:10:00,231.1221,231.265,231.01,231.1,2555
2021-02-05 13:09:00,231.28,231.34,231.1,231.13,1875
2021-02-05 13:08:00,231.11,231.21,231.07,231.21,1168
2021-02-05 13:07:00,231.0,231.19,230.77,231.05,3815
2021-02-05 13:06:00,231.3,231.41,230.7809,230.7809,6211
2021-02-05 13:05:00,231.5,231.5,231.41,231.41,2911
2021-02-05 13:04:00,231.77,231.77,231.52,231.747,2479
2021-02-05 13:03:00,231.825,231.825,231.58,231.59,1457
2021-02-05 13:02:00,231.99,231.99,231.7505,231.825,2484
2021-02-05 13:01:00,231.92,232.044,231.85,232.044,2502
2021-02-05 13:00:00,232.25,232.25,232.14,232.14,1183
2021-02-05 12:59:00,232.3,232.37,232.02,232.228,85199
2021-02-05 12:58:00,232.03,232.21,231.9939,232.21,3260
2021-02-05 12:57:00,232.09,232.2,232.02,232.1694,1358
2021-02-05 12:56:00,231.9,232.34,231.9,232.1351,1911
2021-02-05 12:55:00,232.4527,232.4527,231.9,232.0,5820
2021-02-05 12:54:00,232.36,232.36,232.24,232.24,3254
2021-02-05 12:53:00,232.17,232.26,232.17,232.26,1032
2021-02-05 12:52:00,232.15,232.22,232.07,232.15,3887
2021-02-05 12:51:00,232.6,232.6,232.15,232.22,4002
2021-02-05 12:50:00,232.605,232.6735,232.5287,232.6,1366
2021-02-05 12:49:00,232.5979,232.6054,232.5906,232.5906,3021
2021-02-05 12:47:00,232.78,232.78,232.0,232.366,16687
2021-02-05 12:46:00,232.4016,232.78,232.4016,232.78,3663
2021-02-05 12:45:00,232.75,232.77,232.35,232.35,7197
2021-02-05 12:44:00,232.61,232.97,232.61,232.74,3648
2021-02-05 12:43:00,232.4,232.97,232.3,232.35,13299
2021-02-05 12:42:00,232.27,232.27,232.27,232.27,559
2021-02-05 12:41:00,232.085,232.3,232.0356,232.265,4320
2021-02-05 12:40:00,232.12,232.2,231.9983,231.9983,1448
2021-02-05 12:39:00,232.22,232.2714,232.15,232.15,2875
2021-02-05 12:38:00,231.995,232.265,231.995,232.265,1587
2021-02-05 12:37:00,232.05,232.21,231.9196,232.08,4468
2021-02-05 12:36:00,232.21,232.22,232.04,232.05,1723
2021-02-05 12:35:00,232.36,232.445,232.235,232.28,3476
