time,open,high,low,close,volume
2019-10-15 19:15:00,291.901554525,291.901554525,291.901554525,291.901554525,120
2019-10-15 18:53:00,292.037548593,292.037548593,292.037548593,292.037548593,150
2019-10-15 18:02:00,292.086117903,292.086117903,292.086117903,292.086117903,1000
2019-10-15 16:35:00,292.21239811,292.21239811,292.21239811,292.21239811,550
2019-10-15 16:34:00,292.086117903,292.086117903,292.086117903,292.086117903,200
2019-10-15 16:32:00,292.154114938,292.154114938,292.105545627,292.105545627,3737
2019-10-15 16:31:00,292.231825834,292.231825834,292.231825834,292.231825834,576
2019-10-15 16:15:00,292.251253558,292.251253558,292.251253558,292.251253558,300
2019-10-15 16:13:00,292.066690179,292.11525949,292.066690179,292.11525949,681
2019-10-15 16:07:00,292.076404041,292.095831765,292.047262455,292.095831765,1103
2019-10-15 16:06:00,292.105545627,292.105545627,292.066690179,292.066690179,200
2019-10-15 16:04:00,292.124973352,292.124973352,292.11525949,292.11525949,905
2019-10-15 16:03:00,292.1638288,292.1638288,292.134687214,292.134687214,1100
2019-10-15 16:02:00,292.144401076,292.1638288,292.144401076,292.1638288,1102
2019-10-15 16:01:00,291.901554525,292.105545627,291.901554525,292.105545627,9775
2019-10-15 16:00:00,292.134687214,292.144401076,291.969551559,291.998693145,130953
2019-10-15 15:59:00,292.037548593,292.183256524,291.998693145,292.134687214,15886
2019-10-15 15:58:00,292.008407007,292.056976317,291.988979283,292.056976317,49594
2019-10-15 15:57:00,292.076404041,292.124973352,292.027834731,292.037548593,15442
2019-10-15 15:56:00,292.047262455,292.222111972,292.018120869,292.095831765,40331
2019-10-15 15:55:00,292.056976317,292.086117903,292.008407007,292.018120869,24351
2019-10-15 15:54:00,292.144401076,292.144401076,292.056976317,292.066690179,6777
2019-10-15 15:53:00,292.192484693,292.192776109,292.109431172,292.154114938,12083
2019-10-15 15:52:00,292.167617206,292.202684248,292.154114938,292.183256524,9896
2019-10-15 15:51:00,292.056976317,292.173542662,292.056976317,292.173542662,8602
2019-10-15 15:50:00,292.076404041,292.076404041,292.018315146,292.076404041,4806
2019-10-15 15:49:00,292.086117903,292.153629245,292.086117903,292.105059934,5791
2019-10-15 15:48:00,292.222209111,292.222209111,292.095831765,292.095831765,8524
2019-10-15 15:47:00,292.192970386,292.222111972,292.188113455,292.21239811,4385
2019-10-15 15:46:00,292.124973352,292.192970386,292.076404041,292.192970386,6965
2019-10-15 15:45:00,292.1638288,292.173542662,292.144401076,292.144401076,3669
2019-10-15 15:44:00,292.1736398,292.183256524,292.1638288,292.183256524,6704
2019-10-15 15:43:00,292.265824351,292.265824351,292.134687214,292.173542662,9617
2019-10-15 15:42:00,292.251253558,292.255721935,292.222014833,292.241539696,2999
2019-10-15 15:41:00,292.231825834,292.26096742,292.231825834,292.26096742,3389
2019-10-15 15:40:00,292.256110489,292.319250593,292.241539696,292.241539696,8486
2019-10-15 15:39:00,292.21239811,292.270195589,292.21239811,292.251253558,3347
2019-10-15 15:38:00,292.251253558,292.280395144,292.222111972,292.222111972,5676
2019-10-15 15:37:00,292.358106041,292.358106041,292.262813054,292.280395144,6584
2019-10-15 15:36:00,292.299822868,292.367819903,292.299822868,292.343438109,2165
2019-10-15 15:35:00,292.241539696,292.348392179,292.241539696,292.338678317,5140
2019-10-15 15:34:00,292.319250593,292.338678317,292.192970386,292.231825834,8219
2019-10-15 15:33:00,292.455244661,292.455244661,292.290109006,292.319250593,11909
2019-10-15 15:32:00,292.406675351,292.494100109,292.396961489,292.459615899,6773
2019-10-15 15:31:00,292.464958523,292.464958523,292.396961489,292.435816937,8430
2019-10-15 15:30:00,292.387247627,292.464958523,292.387247627,292.464958523,6968
2019-10-15 15:29:00,292.392104558,292.416389213,292.392104558,292.396961489,8165
2019-10-15 15:28:00,292.348392179,292.396961489,292.348392179,292.387150488,6322
2019-10-15 15:27:00,292.328964455,292.387247627,292.319250593,292.348392179,6175
2019-10-15 15:26:00,292.290011868,292.328964455,292.26096742,292.328964455,7919
2019-10-15 15:25:00,292.241539696,292.280395144,292.231825834,292.26096742,2218
2019-10-15 15:24:00,292.183256524,292.23988834,292.183256524,292.23988834,2252
2019-10-15 15:23:00,292.19763304,292.202684248,292.192970386,292.192970386,1493
2019-10-15 15:22:00,292.197827317,292.231825834,292.183256524,292.183256524,3377
2019-10-15 15:21:00,292.192970386,292.251253558,292.192970386,292.231825834,4884
2019-10-15 15:20:00,292.241636835,292.241636835,292.183256524,292.192873247,3652
2019-10-15 15:19:00,292.265824351,292.290109006,292.26096742,292.26096742,2611
2019-10-15 15:18:00,292.21239811,292.28913762,292.21239811,292.268835649,2047
2019-10-15 15:17:00,292.167520067,292.222111972,292.167520067,292.222111972,2202
2019-10-15 15:16:00,292.173931216,292.173931216,292.095831765,292.170434226,5112
2019-10-15 15:15:00,292.166354404,292.183256524,292.154114938,292.175582573,2501
2019-10-15 15:14:00,292.154114938,292.173542662,292.134687214,292.173542662,3982
2019-10-15 15:13:00,292.186267821,292.186267821,292.144303937,292.154114938,2429
2019-10-15 15:12:00,292.182770831,292.21521513,292.173542662,292.21521513,3569
2019-10-15 15:11:00,292.241539696,292.241539696,292.202684248,292.202684248,4822
2019-10-15 15:10:00,292.275441075,292.275441075,292.21239811,292.231825834,2784
2019-10-15 15:09:00,292.322067613,292.322067613,292.26096742,292.26096742,3391
2019-10-15 15:08:00,292.328964455,292.328964455,292.30953673,292.30953673,2142
2019-10-15 15:07:00,292.319250593,292.358106041,292.319250593,292.348392179,2650
2019-10-15 15:06:00,292.280395144,292.299822868,292.280395144,292.286806293,2352
2019-10-15 15:05:00,292.241539696,292.278258095,292.222111972,292.278258095,3076
2019-10-15 15:04:00,292.241539696,292.270681282,292.222111972,292.247659429,4780
2019-10-15 15:03:00,292.290109006,292.29972573,292.26096742,292.26096742,1914
2019-10-15 15:02:00,292.299822868,292.299822868,292.251253558,292.299822868,3067
2019-10-15 15:01:00,292.328964455,292.328964455,292.290109006,292.294965937,1997
2019-10-15 15:00:00,292.256110489,292.350626367,292.256110489,292.350626367,6462
2019-10-15 14:59:00,292.358106041,292.358106041,292.299822868,292.299822868,3552
2019-10-15 14:58:00,292.417943431,292.417943431,292.366848517,292.366848517,12568
2019-10-15 14:57:00,292.455244661,292.464958523,292.396961489,292.416389213,4099
2019-10-15 14:56:00,292.435816937,292.484289109,292.435816937,292.464958523,2549
2019-10-15 14:55:00,292.474672385,292.484483386,292.416389213,292.435914076,5748
2019-10-15 14:54:00,292.467386989,292.467386989,292.464958523,292.464958523,716
2019-10-15 14:53:00,292.464958523,292.470398286,292.461072978,292.470398286,1136
2019-10-15 14:52:00,292.474672385,292.489243178,292.464958523,292.489243178,1974
2019-10-15 14:51:00,292.455244661,292.500511258,292.445530799,292.464958523,4109
2019-10-15 14:50:00,292.508670902,292.508670902,292.455147523,292.464958523,2930
2019-10-15 14:49:00,292.532955558,292.532955558,292.503813971,292.503813971,1272
2019-10-15 14:48:00,292.523241696,292.54266942,292.502939724,292.502939724,1426
2019-10-15 14:47:00,292.523241696,292.523241696,292.490700258,292.523241696,3667
2019-10-15 14:46:00,292.576667937,292.582496254,292.571811006,292.571811006,2278
2019-10-15 14:45:00,292.552383282,292.552383282,292.532955558,292.54266942,2933
2019-10-15 14:44:00,292.513527833,292.523241696,292.513527833,292.523241696,1091
2019-10-15 14:43:00,292.600952592,292.600952592,292.523241696,292.523241696,3555
2019-10-15 14:42:00,292.532955558,292.610666454,292.532955558,292.600758315,14756
2019-10-15 14:41:00,292.494100109,292.513527833,292.494002971,292.513527833,1891
2019-10-15 14:40:00,292.532955558,292.532955558,292.471369672,292.474672385,2732
2019-10-15 14:39:00,292.523241696,292.552383282,292.523241696,292.552383282,39472
2019-10-15 14:38:00,292.523241696,292.550731925,292.523241696,292.523241696,3369
2019-10-15 14:37:00,292.54266942,292.552383282,292.54266942,292.54266942,1149
2019-10-15 14:36:00,292.552383282,292.571811006,292.523241696,292.523241696,2890
2019-10-15 14:35:00,292.562097144,292.59123873,292.540143816,292.540143816,2357
2019-10-15 14:34:00,292.59123873,292.59123873,292.552383282,292.552383282,3319
2019-10-15 14:33:00,292.630094178,292.649424764,292.600952592,292.610569315,1964
2019-10-15 14:32:00,292.600952592,292.634756832,292.600952592,292.634756832,2762
2019-10-15 14:31:00,292.620380316,292.620380316,292.571811006,292.610666454,2689
2019-10-15 14:30:00,292.678663488,292.678663488,292.623100197,292.623100197,1804
2019-10-15 14:29:00,292.649521902,292.681091954,292.649521902,292.668949626,14273
2019-10-15 14:28:00,292.668949626,292.678857766,292.65603019,292.65603019,19098
2019-10-15 14:27:00,292.707805074,292.715479025,292.662247061,292.662247061,2116
2019-10-15 14:26:00,292.717518936,292.717518936,292.698091212,292.707707936,2855
2019-10-15 14:25:00,292.707805074,292.74190073,292.698188351,292.74190073,4759
2019-10-15 14:24:00,292.717518936,292.741803592,292.707805074,292.707805074,15418
2019-10-15 14:23:00,292.678663488,292.710039263,292.678663488,292.700033985,11418
2019-10-15 14:22:00,292.668949626,292.68837735,292.668949626,292.678663488,1715
2019-10-15 14:21:00,292.635242525,292.68837735,292.610666454,292.678760627,8314
2019-10-15 14:20:00,292.649521902,292.649521902,292.620380316,292.620380316,4067
2019-10-15 14:19:00,292.608723682,292.659235764,292.581524868,292.63980804,19911
2019-10-15 14:18:00,292.573170946,292.605809523,292.571811006,292.592598671,15311
2019-10-15 14:17:00,292.573170946,292.61163784,292.573170946,292.573170946,12436
2019-10-15 14:16:00,292.571811006,292.620380316,292.571811006,292.571811006,22242
2019-10-15 14:15:00,292.565399857,292.565399857,292.532955558,292.54266942,23835
2019-10-15 14:14:00,292.59123873,292.600952592,292.547526351,292.547526351,12520
2019-10-15 14:13:00,292.54266942,292.591141591,292.54266942,292.591141591,11222
2019-10-15 14:12:00,292.600952592,292.605809523,292.566954075,292.566954075,13365
2019-10-15 14:11:00,292.54266942,292.620380316,292.54266942,292.618437544,11329
2019-10-15 14:10:00,292.503813971,292.54266942,292.484483386,292.54266942,4598
2019-10-15 14:09:00,292.499248456,292.499248456,292.484386247,292.485260495,2295
